oid,num_detections,redshift,distance_mpcZTF17aaaaaby,24,distance_mpc,first_mjd,last_mjd,first_utc,last_utc,duration_days,peak_luminosity,r_squared
ZTF17aaaabsq,119,N/A (No catsHTM match),,,,58509.22651620023,60977.38394680014,2019-01-26T05:26:10.999699712+00:00,2025-10-29T09:12:53.003532032+00:00,2468.1574305999093,N/A,-2.0387358945495038e-06
ZTF17aaaabsr,138,N/A (No catsHTM match),,,,58443.262858800124,60968.44461809984,2018-11-21T06:18:31.000330752+00:00,2025-10-20T10:40:15.003825664+00:00,2525.1817592997104,N/A,-3.972799862517279
ZTF17aaaabvi,38,N/A (No catsHTM match),,,,58744.4658102002,60292.27722219983,2019-09-18T11:10:46.001297152+00:00,2023-12-14T06:39:11.998065408+00:00,1547.8114119996317,N/A,-2.183929048937827e-06
ZTF17aaaabvx,64,N/A (No catsHTM match),,,,58457.24107640004,60979.44297449989,2018-12-05T05:47:09.000963328+00:00,2025-10-31T10:37:52.996790784+00:00,2522.2018980998546,N/A,-2.220238229710958e-06
ZTF17aaaabwr,38,N/A (No catsHTM match),,,,58457.24798610015,60726.28994210018,2018-12-05T05:57:05.999052800+00:00,2025-02-20T06:57:30.997455360+00:00,2269.04195600003,N/A,0.030165336249449726
ZTF17aaaabzp,52,N/A (No catsHTM match),,,,60510.483067099936,60891.49599540001,2024-07-19T11:35:36.997434624+00:00,2025-08-04T11:54:14.002560768+00:00,381.0129283000715,N/A,0.29785891316050417
ZTF17aaaacbh,37,N/A (No catsHTM match),,,,60511.48590280023,60888.49337959988,2024-07-20T11:39:42.001939456+00:00,2025-08-01T11:50:27.997429760+00:00,377.0074767996557,N/A,0.35281597224404093
ZTF17aaaacbq,44,N/A (No catsHTM match),,,,58435.33012730023,60619.41555560008,2018-11-13T07:55:22.998739712+00:00,2024-11-05T09:58:24.003846656+00:00,2184.085428299848,N/A,-2.278767760044431e-06
ZTF17aaaacen,128,N/A (No catsHTM match),,,,58466.330821800046,60760.24039349984,2018-12-14T07:56:23.003523840+00:00,2025-03-26T05:46:09.998386432+00:00,2293.909571699798,N/A,-2.9209932406182304e-06
ZTF17aaaacfq,53,N/A (No catsHTM match),,,,58434.4149536998,60891.496944400016,2018-11-12T09:57:31.999662848+00:00,2025-08-04T11:55:35.996161280+00:00,2457.081990700215,N/A,
ZTF17aaaache,69,N/A (No catsHTM match),,,,58504.26047449978,60760.14052079991,2019-01-21T06:15:04.996781056+00:00,2025-03-26T03:22:20.997111808+00:00,2255.8800463001244,N/A,-2.13313873498322e-06
ZTF17aaaachu,26,N/A (No catsHTM match),,,,58434.398587999865,60525.49107640004,2018-11-12T09:33:58.003188480+00:00,2024-08-03T11:47:09.000963328+00:00,2091.0924884001724,N/A,0.18502291168186102
ZTF17aaaaciq,96,N/A (No catsHTM match),,,,58487.23937499989,60985.40729170013,2019-01-04T05:44:41.999990272+00:00,2025-11-06T09:46:30.002891520+00:00,2498.167916700244,N/A,-1.8598794573332356e-06
ZTF17aaaaciw,55,-8.2e-05,,,0.3511854507999999,58493.21028940007,60773.19741899986,2019-01-10T05:02:49.004166144+00:00,2025-04-08T04:44:17.001587712+00:00,2279.9871295997877,1.2008182913003167e-07,0.2489074580840961
ZTF17aaaackw,42,N/A (No catsHTM match),,,,58378.48334489996,60970.360474499874,2018-09-17T11:36:00.999356160+00:00,2025-10-22T08:39:04.996788992+00:00,2591.8771295999177,N/A,0.0019983378614000236
ZTF17aaaaclq,23,N/A (No catsHTM match),,,,60183.44994209986,60980.477812500205,2023-08-27T10:47:54.997427968+00:00,2025-11-01T11:28:03.000017664+00:00,797.0278704003431,N/A,0.21277539402278844
